fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,177.423768805132,9,12981,1611.4011391,3707,0,10894,3055682,712150,149832,86402,27687,455.84502,7488.75232620004,317174,332640,512963,656756,0,540704,686650,14601,5421.50616710003,2531828,47,51.93,53.23,100,NA
2025-2026,July,29,TAMIL NADU,2910,ERODE,613872,298.022349785983,9,1205,1121.431010138,2847,0,5586,429171,111566,46019,5686,2966,128.88744,2529.343948938,43813,44605,140651,163698,0,192499,225101,8433,1279.0254988,364642,63,51.75,60.06,100,NA
2025-2026,July,29,TAMIL NADU,2917,KARUR,775793,345.436912499269,8,620,417.1441787,3594,0,2844,290889,69368,36368,47,26,86.48606,1508.4682191,33407,34486,123903,154704,0,142734,177418,6438,1004.8379804,252888,69,49.83,76.85,100,NA
2025-2026,July,29,TAMIL NADU,2919,PUDUKKOTTAI,1676577,249.340974583989,10,871,2589.2537151,2921,1,10016,1301345,227407,82081,22,3,234.97317,6069.0131908,129454,135204,293848,424401,0,332616,474593,12937,3244.78630570001,1172261,47,21.26,55.67,100,NA
2025-2026,July,29,TAMIL NADU,2921,THENI,396523,325.515876820352,11,708,348.5550964,1545,0,2721,414549,96840,25169,976,175,78.24305,1776.2209586,37274,39635,84603,103038,0,115632,137350,4266,1349.4228122,353266,51,54.84,67.16,100,NA
2025-2026,July,29,TAMIL NADU,2922,DINDIGUL,1423540,348.070423175464,9,1587,3857.0377738,5907,0,12828,691628,172273,82923,699,363,257.97911,6522.3693902,72735,75588,281891,341367,0,314506,376321,18735,2407.3525064,593483,78,42.19,52.61,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,284.05354564097,12,2024,1797.2857338,1547,0,4006,1011865,308212,75887,123,118,150.40184,4821.9259834,82995,86854,216282,265462,0,247667,299663,5553,2874.2384096,861597,42,22.23,61.49,100,NA
2025-2026,July,29,TAMIL NADU,2927,THOOTHUKKUDI,1108749,273.778907836333,10,1240,861.035647,1217,0,6076,821864,263296,58929,418,157,197.24921,3308.3751401,79312,82596,150657,178507,0,172128,213673,7293,2250.0902831,727626,29,47.77,48.09,100,NA
2025-2026,July,29,TAMIL NADU,2936,TENKASI,731366,311.14634978718,10,577,943.31412018,2254,0,4743,328211,83763,62256,14,72,106.85039,2071.38105628,32752,34788,138882,189660,1,164627,219186,6997,1021.2165461,260590,56,21.11,33.28,100,NA
2025-2026,July,29,TAMIL NADU,2901,KANCHIPURAM,551254,300.603757272363,10,731,390.3080918,1615,0,4889,578904,222927,57195,9848,2531,133.53415,2264.0494168,56131,57429,128627,156898,0,141644,177971,6504,1740.207175,507467,61,40.66,55.73,100,NA
