fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,29,TAMIL NADU,2932,TIRUPPUR,834044,279.612584349769,14,395,1005.017166318,2847,0,4809,739184,264332,62386,408,206,113.84416,3185.712811818,50648,51983,134368,159157,2,179111,230489,7656,2066.8514855,635771,51,36.81,69.29,100,NA
2025-2026,July,29,TAMIL NADU,2933,CHENGALPATTU,1018258,314.29165689964,11,1947,1357.56643119,4331,0,6735,1040576,454621,103699,23588,4311,178.3145,4806.32448289,89567,91995,195242,239055,1,219363,278634,11066,3270.4435517,920610,57,20.8,51.85,100,NA
2025-2026,July,29,TAMIL NADU,2935,TIRUPATHUR,708885,329.446706248783,9,335,513.3848253,3578,0,6103,323631,52418,25461,6840,5027,121.88798,1701.4644752,32884,34049,129667,149475,1,141845,164186,9681,1066.1916699,295755,69,15.86,37.53,100,NA
2025-2026,July,29,TAMIL NADU,2903,CUDDALORE,1960476,267.957105098153,9,3491,4076.8774127,4736,0,12011,1885114,684787,252658,12989,3466,289.80427,9417.97858490001,190413,213839,419383,676872,2,469936,738344,16747,5051.2969022,1514701,43,47.69,54.15,100.01,NA
2025-2026,July,29,TAMIL NADU,2904,VILLUPURAM,2645090,245.518444342397,9,7490,3558.074898079,3484,0,11361,2040449,598262,176626,27075,6885,316.57909,8884.332630479,225889,238381,428866,598979,0,459191,641448,14845,5009.6786424,1682006,52,43.67,45.49,100,NA
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,176.309341209272,9,13039,3765.4924691,3774,0,10996,3088902,721188,149834,87036,27688,455.84502,9667.36025590004,318295,333805,512968,656763,0,540703,686651,14770,5446.02276680004,2559523,47,52,53.33,100,NA
2025-2026,July,29,TAMIL NADU,2921,THENI,396523,325.092404809571,11,708,532.6023793,1549,0,2850,415089,96930,25186,976,175,78.24305,1960.2682415,37281,39642,84657,103099,0,115642,137360,4399,1349.4228122,353734,52,54.77,67.08,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,280.088714783091,12,2032,1884.6788054,1599,0,3996,1029974,313371,75888,123,118,150.40184,4919.9215846,83596,87488,216292,265480,0,247676,299679,5595,2884.8409392,876486,42,22.1,61.22,100,NA
2025-2026,July,29,TAMIL NADU,2931,ARIYALUR,807213,312.337574873794,7,605,1270.2616618,2584,0,3683,553064,117658,56517,7767,3023,74.54599,3072.2343369,69837,77907,180002,254945,0,192088,268375,6267,1727.4266851,444008,53,46.44,47.82,100,NA
2025-2026,July,29,TAMIL NADU,2903,CUDDALORE,1960476,259.974811114112,10,3657,4076.8774127,5116,0,11739,2066274,752581,252707,14120,3467,289.80427,9738.47361130001,201080,226491,419455,677043,2,469980,738475,16855,5371.79192860001,1660349,43,49.42,56.1,100.01,NA
2025-2026,July,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1145915,277.514651045129,7,2677,1719.36709736,4355,0,5930,1077188,217037,82963,12403,5098,190.13569,4898.85730666,136754,141583,302511,374645,1,322392,401020,10285,2989.3545193,939645,53,37.37,54.18,100,NA
2025-2026,July,29,TAMIL NADU,2919,PUDUKKOTTAI,1676577,243.312039788896,10,921,2589.2537151,2973,1,10112,1418637,249924,82089,22,3,242.86537,6283.83370699999,134655,140873,293882,424440,0,332618,474595,13085,3451.7146219,1277502,48,21.75,57.33,100,NA
2025-2026,July,29,TAMIL NADU,2922,DINDIGUL,1423540,319.11714352421,10,1951,3857.0377738,9299,0,9720,903743,228372,82985,773,363,258.33248,6999.3691002,88038,91618,282104,341614,0,314567,376407,19019,2883.9988464,775093,78,42.92,56.77,100,NA
2025-2026,July,29,TAMIL NADU,2931,ARIYALUR,807213,290.628274237049,8,658,1272.0977637,2611,0,3667,620682,129908,56523,8120,3023,74.70685,3150.6819988,75949,84997,180030,254988,0,192096,268394,6278,1803.8773851,498691,53,47.8,50.46,100,NA
2025-2026,July,29,TAMIL NADU,2935,TIRUPATHUR,708885,321.158646116603,9,330,513.3848253,3525,0,6139,314776,50980,25461,6808,5027,121.88798,1646.2031452,32368,33522,129665,149472,1,141845,164186,9664,1010.9303399,287868,69,15.88,37.8,100,NA
2025-2026,July,29,TAMIL NADU,2938,MAYILADUTHURAI,504055,266.085692368188,8,374,1355.6216524,1348,0,5547,452671,202784,106535,368,275,88.18984,2648.3042569,53655,63878,153207,233561,0,161988,243467,6895,1204.4927645,357275,50,47.7,46.77,100,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,207.771214218265,9,1553,2103.9809852,4822,0,12413,1250673,425707,118145,61390,8665,280.97587,4983.4953332,127302,129433,265226,311295,0,310100,376635,17235,2598.538478,1136844,46,35.71,39.74,100,NA
2025-2026,July,29,TAMIL NADU,2905,VELLORE,620335,317.620482577271,9,403,1272.0783316,4007,0,6950,272288,77655,37869,6532,4629,108.43398,2245.3547712,27942,28836,132727,155401,0,146654,185798,10957,864.8424596,240290,71,16.7,24.61,100,NA
2025-2026,July,29,TAMIL NADU,2901,KANCHIPURAM,551254,294.909315621986,11,810,902.793951400001,2104,0,4864,734068,283249,57222,12339,2532,139.65757,3207.2864364,63045,64625,128700,156978,1,141662,177997,6968,2164.834915,642386,63,42.64,57.69,100,NA
2025-2026,July,29,TAMIL NADU,2903,CUDDALORE,1960476,262.999726913162,10,3811,4213.9156767,5373,0,12175,2227936,813616,252744,14772,3468,312.51847,10385.8997425,209599,236711,419514,677172,2,470031,738599,17548,5859.46559580001,1791693,45,50.23,57.1,100,NA
2025-2026,July,29,TAMIL NADU,2908,NAMAKKAL,810321,261.943297626986,12,1927,1004.167977053,5009,0,3097,1066197,293878,63591,71667,20798,182.17422,3979.173778053,82877,85869,181990,227270,0,220664,276767,8106,2792.831581,946493,40,44.97,70.48,100,NA
2025-2026,July,29,TAMIL NADU,2914,NAGAPATTINAM,500601,335.416170908291,12,91,1392.2294195,3571,0,3743,236466,102931,82791,482,250,87.57642,2272.9510422,19621,23496,106763,164962,0,119849,180543,7314,793.1452027,180287,71,18,15.29,100,NA
2025-2026,July,29,TAMIL NADU,2919,PUDUKKOTTAI,1676577,245.770319323968,11,944,2617.75131909999,3709,1,9626,1549868,272274,82089,28,3,243.34735,6670.21420179998,140388,146904,293898,424457,0,332619,474595,13335,3809.11553269999,1395729,48,22.18,58.31,100,NA
2025-2026,July,29,TAMIL NADU,2921,THENI,396523,309.747360028411,12,765,532.6023793,1706,0,2828,512479,122172,25223,1065,175,86.09158,2206.0841325,40371,43021,84786,103254,0,115707,137446,4534,1587.3901732,437008,53,54.64,67.31,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,267.327415922626,13,2318,1884.6788054,1821,0,3914,1275581,383799,75913,181,118,163.73208,5458.3886107,94271,98787,216374,265578,0,247733,299751,5735,3409.9777253,1088292,42,24.75,65.23,100,NA
2025-2026,July,29,TAMIL NADU,2925,SIVAGANGAI,1157211,254.332758143368,13,1954,3570.3549694,2389,0,10003,1604496,334888,45668,100,19,241.48396,7892.59786050001,117545,121312,186421,221350,0,202362,238855,12392,4080.75893110001,1464620,41,60.79,63.02,100,NA
2025-2026,July,29,TAMIL NADU,2934,Ranipet,1162345,292.910092899596,10,1289,1098.0821925,3815,0,5137,1068573,278181,54655,15504,2315,117.77017,4345.8105295,98825,103610,158364,219267,1,183011,248156,8952,3129.958167,964853,58,45.03,51.85,100,NA
2025-2026,July,29,TAMIL NADU,2938,MAYILADUTHURAI,504055,265.468137970523,8,411,1380.2090483,1648,0,5462,492511,221426,106540,379,275,88.28284,2775.9516693,56500,67511,153211,233573,0,161999,243488,7110,1307.459781,388172,51,47.6,46.87,100,NA
2025-2026,July,29,TAMIL NADU,2903,CUDDALORE,1960476,266.572299610526,10,3723,4170.8093807,5234,0,11851,2119011,773352,252723,14205,3467,305.96526,10125.4709924,204138,230205,419468,677070,2,469990,738498,17085,5648.69635170001,1702483,44,49.65,56.45,100,NA
2025-2026,July,29,TAMIL NADU,2904,VILLUPURAM,2645090,244.262442523431,9,7973,3559.017320679,3862,0,11671,2551779,745706,176704,32031,6879,327.29107,10119.346103879,256194,271588,429049,599235,1,459218,641520,15533,6233.03771319998,2104915,53,47.61,50.58,100,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,207.63136782079,9,1450,2094.1355432,4767,0,12391,1154932,392360,118121,57964,8662,260.99504,4753.13169220001,120114,122118,265172,311234,0,310086,376619,17158,2398.00110900001,1049463,46,34.41,37.84,100,NA
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,177.258723357033,10,13517,3919.1911087,4471,0,11190,3545917,821010,149850,96420,27692,457.75476,10662.3930742,333755,351226,513066,656873,0,540718,686674,15661,6285.4472055,2936221,49,53.68,55.3,100,NA
2025-2026,July,29,TAMIL NADU,2901,KANCHIPURAM,551254,295.354796219161,11,775,902.793951400001,2073,0,4791,666942,259800,57216,11097,2531,133.53415,3006.1732864,60116,61559,128683,156961,0,141656,177992,6864,1969.845185,584424,63,42.08,56.93,100,NA
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,178.990019083519,10,13510,3919.1911087,4363,0,11233,3517171,815129,149849,96109,27692,457.75476,10672.3309128,333250,350672,513061,656865,0,540717,686671,15596,6295.3850441,2912255,49,53.75,55.34,100,NA
2025-2026,July,29,TAMIL NADU,2912,THE NILGIRIS,201936,334.508259451577,14,89,267.6371556,1235,0,2230,101491,33897,11720,13821,3681,48.4604,655.5933332,6796,7286,31103,39704,0,56281,68841,3465,339.4957776,78963,85,20.47,16.36,100,NA
2025-2026,July,29,TAMIL NADU,2921,THENI,396523,322.348240107207,12,741,532.6023793,1647,0,2877,479819,112740,25215,1053,175,82.94135,2162.2318315,39437,41981,84763,103225,0,115702,137439,4524,1546.6881022,408826,53,54.57,66.88,100,NA
2025-2026,July,29,TAMIL NADU,2932,TIRUPPUR,834044,266.537943687242,15,405,1005.017166318,2891,0,4938,780285,278757,62404,410,206,114.73186,3199.504620218,51764,53129,134407,159206,2,179113,230494,7829,2079.7555939,671008,51,37.27,69.98,100,NA
2025-2026,July,29,TAMIL NADU,2934,Ranipet,1162345,297.973651842167,10,1243,1048.4957049,3128,0,5765,989758,259788,54650,14752,2312,117.77017,4115.4839319,95575,99962,158358,219254,1,182980,248119,8893,2949.218057,893838,58,44.14,50.62,100,NA
2025-2026,July,29,TAMIL NADU,2910,ERODE,613872,297.348425162957,10,1289,1183.980244338,3251,0,5354,520384,136498,46039,6635,2967,134.90803,2866.241903138,47944,48850,140704,163770,0,192560,225180,8605,1547.3536288,441654,62,54.85,59.73,100,NA
2025-2026,July,29,TAMIL NADU,2925,SIVAGANGAI,1157211,259.631959584106,12,1916,3490.7374979,2305,0,10010,1448440,302031,45665,90,19,235.74382,7487.09447330003,115284,118863,186398,221325,0,202358,238853,12315,3760.61315540003,1321998,41,59.16,61.37,100,NA
2025-2026,July,29,TAMIL NADU,2930,KRISHNAGIRI,1635014,269.973239940675,10,908,3090.4689981,2167,0,9872,840787,118156,38749,6621,2795,231.80367,5592.172573,81290,83568,254972,285937,0,295855,333640,12039,2269.8999049,765257,69,28.54,40.46,100,NA
2025-2026,July,29,TAMIL NADU,2909,DHARMAPURI,1175658,284.933210061649,9,1164,1781.1537675,3222,0,7846,907048,122611,37774,36538,8425,146.09769,4511.73244069998,99622,103626,242384,277093,0,277107,314131,11068,2584.48098319998,836802,58,60.53,65.27,100,NA
2025-2026,July,29,TAMIL NADU,2914,NAGAPATTINAM,500601,335.48003319748,12,91,1392.2294195,3562,0,3734,232849,101659,82790,482,250,87.57642,2260.967742,19232,23097,106753,164950,0,119849,180544,7296,781.1619025,177321,71,17.82,15.1,100,NA
2025-2026,July,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1145915,265.036928773978,8,2835,1724.50724276,4693,0,5796,1169025,236519,82977,13769,5100,190.13569,5012.99088936,144035,149274,302558,374706,1,322414,401053,10489,3098.3479566,1019103,54,38.19,54.74,100,NA
2025-2026,July,29,TAMIL NADU,2919,PUDUKKOTTAI,1676577,250.608438610435,10,935,2617.75131909999,3693,1,9658,1502226,265192,82089,28,3,243.34735,6625.80379209999,138541,144965,293897,424455,0,332619,474595,13351,3764.705123,1352680,48,22.3,57.68,100,NA
2025-2026,July,29,TAMIL NADU,2923,RAMANATHAPURAM,1801667,229.673087517133,12,2680,1817.0113495,3074,0,11720,1049863,243743,62718,90,23,184.85551,4413.1196263,83776,88620,198399,244583,2,223237,271730,14794,2411.2527668,915047,64,36.86,41.88,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,266.086854158203,13,2273,1884.6788054,1809,0,3923,1238047,373729,75913,169,118,163.73208,5342.6912007,92942,97361,216376,265582,0,247733,299751,5732,3294.2803153,1055463,42,24.32,64.64,100,NA
2025-2026,July,29,TAMIL NADU,2936,TENKASI,731366,273.156532023074,10,818,996.47807788,2546,0,4892,470848,123009,62302,38,72,111.46396,2394.09410578,45231,48249,139080,189918,3,164663,219250,7438,1286.1520679,378397,58,22.72,41.81,100,NA
2025-2026,July,29,TAMIL NADU,2904,VILLUPURAM,2645090,227.05106513171,12,8520,3567.209488279,5493,0,12176,3514279,1024640,176878,43837,6902,340.641,11887.058389479,289228,309067,429374,599863,1,459489,642098,17669,7979.2079012,2904074,57,52.46,56.78,100,NA
2025-2026,July,29,TAMIL NADU,2911,COIMBATORE,281445,352.671865179355,10,46,1029.319349754,2556,0,4177,105963,36080,28888,3414,1755,145.72769,1548.748728254,10378,10507,74625,83448,0,109854,122863,6733,373.7016885,94582,57,40.33,34.36,100,NA
2025-2026,July,29,TAMIL NADU,2917,KARUR,775793,320.821860401595,10,849,420.4648903,3987,0,2812,505235,117862,36398,78,26,93.09724,2134.4664567,46965,48692,123992,154828,0,142773,177479,6799,1620.9043264,441608,70,46.36,82.35,100,NA
2025-2026,July,29,TAMIL NADU,2920,MADURAI,1871254,275.168942107296,9,3161,3655.918894465,6367,0,9430,1555101,316731,66965,1857,663,208.7338,8143.80766486498,162250,169785,272656,320746,0,300009,360897,15797,4279.15497039998,1384094,61,47.52,49.48,100,NA
2025-2026,July,29,TAMIL NADU,2927,THOOTHUKKUDI,1108749,268.372260952375,13,1418,1650.6949228,1952,0,5859,1194992,384480,59008,634,159,206.72171,5064.4436814,90498,94688,150851,178790,2,172330,214010,7811,3207.0270486,1057085,31,51.43,52.66,100,NA
2025-2026,July,29,TAMIL NADU,2933,CHENGALPATTU,1018258,297.455935550761,13,2149,1375.20756249,4653,0,7328,1304034,566284,103725,28537,4317,177.81999,5431.95408709001,98772,101557,195348,239182,3,219403,278697,11981,3878.92653460001,1154507,58,23.32,56.06,100,NA
2025-2026,July,29,TAMIL NADU,2936,TENKASI,731366,290.990635561952,11,969,1007.90126708,3081,0,4458,627429,168527,62336,75,72,113.28226,2946.94316188,55070,59081,139178,190034,3,164689,219286,7539,1825.7596348,509833,59,24.33,48.41,100,NA
2025-2026,July,29,TAMIL NADU,2937,KALLAKURICHI,1080995,277.289538522936,12,1823,3901.97229760002,7412,0,9145,1681362,522670,161739,72404,20680,167.3006,8731.51382830003,134084,160979,296112,512234,22,316050,536545,16557,4662.24093070001,1242596,48,35.93,35,100.01,NA
2025-2026,July,29,TAMIL NADU,2902,TIRUVALLUR,1598383,208.927201517867,9,1641,2103.9809852,4944,0,12803,1300773,445906,118160,62618,8667,282.92919,5104.5788022,131481,133701,265247,311333,0,310153,376711,17747,2717.668627,1182692,46,36.06,40.46,100,NA
2025-2026,July,29,TAMIL NADU,2905,VELLORE,620335,353.703005185863,9,465,1273.5099178,4364,0,6994,298311,84916,37877,6802,4629,108.43398,2437.0788696,30524,31492,132754,155432,0,146675,185821,11358,1055.1349718,263571,72,16.81,25.14,100,NA
2025-2026,July,29,TAMIL NADU,2909,DHARMAPURI,1175658,283.293153907573,9,1302,1782.6406531,3950,0,7487,1047044,140458,37788,42490,8426,146.09769,4894.94231350001,107575,111988,242465,277186,0,277132,314171,11437,2966.20397040001,966311,59,61.46,66.25,100,NA
2025-2026,July,29,TAMIL NADU,2911,COIMBATORE,281445,344.111690365807,10,41,1029.319349754,2547,0,4161,96417,32315,28880,3345,1755,145.72769,1506.829208254,9495,9614,74617,83438,0,109841,122850,6708,331.7821685,86058,57,39.55,33.32,100,NA
